"How, if in any way, this course helped you prepare for school opening after COVID-19?",The independent online work activities were well-designed to help me meet the learning targets.,The Zoom meeting activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course even though we were meeting virtually.,This course helped me navigate remote and/or hybrid learning during COVID-19.
N/A,Agree,Agree,Agree,Agree
not yet,Strongly agree,Agree,Agree,Agree
"Planning, preparing and expectation",Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Strongly agree
It will make me more conscious of keeping the expectations high even during COVID,Strongly agree,Strongly agree,Strongly agree,Agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
NA,Strongly agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I have taken a closer look at the Ready Math learning materials.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
Very much.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
We were able to generate and problem solve how to present EL virtually,Agree,Agree,Agree,Agree
I was able to collaborate with my partner while working through the protocol document on how to implement on zoom and how this will vary for her as she is hybrid!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Neither agree nor disagree,Agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Virtual teaching ideas,Strongly agree,Strongly agree,Strongly agree,Strongly agree
There was more integration and talking about virtual options.,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
"I think that I was prepared before this session. This tends to make me more confused, especially today's lesson.",Disagree,Agree,Agree,Neither agree nor disagree
"We are still face to face, so we are working through our modules teaching them in person. I think just seeing how you can and have to scaffold.",Strongly disagree,Disagree,Disagree,Agree
1,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree
"So we are fully in person, I would say that this training helped me gain a better understanding of close reads. Specifically the annotating the close read helped me figure out what types of questions I have been asking. I also really appreciate sending the link of the Text analysis.",Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
4,Agree,Agree,Agree,Neither agree nor disagree
4,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
4,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
"It gave me an idea of how to run my class if we ever have to shut down. Fortunately for Iowa, we're all in packed classrooms teaching face to face.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
This has helped me become more aware of the strategies I use during discussions in class.,Agree,Agree,Agree,Agree
Provided me with more tools that I can use to help my students both online and face-to-face.,Strongly agree,Strongly agree,Agree,Agree
We are open full in person since day 1,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree
Our school has been opened the whole time since doing this learning cycle.,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
4,Agree,Agree,Agree,Agree
Helped me really zone in on using data to plan my instruction,Agree,Agree,Strongly agree,Neither agree nor disagree
Helped me as a new teacher discover what skills is about and how it can help my students really strive for success in my classroom.,Agree,Agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
The choice boards were a nice example of what we could try if we go hybrid again!,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
It has helped me to look at student needs more closely and to think about creating activities for my students that are effective.,Agree,Agree,Agree,Agree
We have been f 2 f the whole time,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
It helped me to be more prepared to teach the content and analyze data.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course helped me to utilize the data tools more efficiently.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
I learned how to look at data and place students in phases/stages without biases.,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
"This course has helped me learn how to use different media platforms, such as seesaw. I have also learned and been exposed to other websites and resources that align with EL Foundational Skills. It was also helpful to see where the other kindergarten teams are district wide.",Agree,Agree,Neither agree nor disagree,Agree
This course has helped me learn how to use different media platforms. It also gave me exposure to different online resources that I otherwise would not have been familiar with. It also has helped in joining together and knowing that we are there for each other to help. It has also been very beneficial to see where the other district grade alike teams are and different strategies to try.,Agree,Strongly agree,Strongly agree,Agree
None as we are face to face learning,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
"Learning to analyze data in a way that focuses in on skills that each student needs, creating instruction that targets not only their skills, but reaches their strengths and builds confidence and engagement along the way.",Agree,Agree,Agree,Agree
This training gave me ideas of how I can incorporate the rotations into hybrid learning. It also gave me ideas of how I can differentiate more to meet students needs.,Agree,Agree,Agree,Agree
3,Agree,Agree,Agree,Agree
4,Agree,Agree,Agree,Agree
None,Agree,Strongly agree,Strongly agree,Strongly agree
I did not hear any helpful tips for this during the meetings.,Strongly agree,Agree,Agree,Strongly agree
It gave me a few choice board options.,Agree,Agree,Agree,Agree
"This course gave me the skills/resources I may need to teach in person or online. I was able to watch an online lesson and helped me brainstorm ideas for what an online classroom may look like, and then gave me ideas of how to incorporate technology while still in person teaching.",Neither agree nor disagree,Agree,Agree,Agree
I am not sure how this course has helped me navigate for remote or hybrid learning during COIVID-19.,Agree,Agree,Neither agree nor disagree,Agree
Since I do not teach foundational skills block I learned about how the program works and helps the students I serve.,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
Collecting data and making data driven instructional decisions,Strongly agree,Strongly agree,Strongly agree,Strongly agree
N/A,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree
5,Agree,Agree,Agree,Agree
"The only issue I had was the chrome book freezing and not being able to share with others because my voice was robotic. I was unable to complete the online live editing.Otherwise the course was helpful, and facilitated my reflective aspect of the goals for my classroom.",Strongly agree,Strongly agree,Strongly agree,Disagree
4,Agree,Agree,Agree,Disagree
NA,Agree,Agree,Agree,Agree
4,Strongly agree,Strongly agree,Strongly agree,Agree
Meeting the needs of students where they are and doing so with a strengths based mindset.,Agree,Agree,Agree,Agree
2,Agree,Agree,Agree,Agree
Many of the topics discussed had an element of navigating with COVID restrictions or guidelines...we have developed our own way to get through this hurdle and share what each are doing and getting ideas on ways to keep it going as best as we can.,Agree,Agree,Agree,Agree
There are many ideas shared that you could do virtually.,Agree,Agree,Agree,Agree
I like seeing the choiceboards as it gives me ideas to use.,Agree,Agree,Agree,Agree
I appreciate time to collaborate with other buildings in our district. We can get so many new ideas.,Strongly agree,Strongly agree,Agree,Agree
"We are learning face-t-face, so I feel this does not apply to us.",Strongly agree,Strongly agree,Agree,Strongly agree
Showed how independent rotations can still take place even if we were to be teaching virtually.,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
"I am not great at technology, but this course has helped me learn more about navigating the many systems that can help me give the best to my students.",Agree,Strongly agree,Strongly agree,Neither agree nor disagree
NA,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
Online learning ideas.,Agree,Agree,Agree,Agree
"My students all come to me in person everyday, so I have not had to teach this hybrid yet.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
4,Agree,Agree,Agree,Agree
2,Agree,Agree,Agree,Agree
Ideas of things to do virutal as well in class,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped me realize there are ways I can still teach skills online.,Agree,Strongly agree,Strongly agree,Strongly agree
This course has helped support the curriculum by using different resources to plan for hybrid/online learning.,Strongly agree,Agree,Agree,Neither agree nor disagree
Help me think critically about my teaching.,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree
Through discussion with other teachers in the district I was able to receive some new ideas for how to implement certain rotations and transitions to make them both virtually friendly and covid friendly in the classroom.,Agree,Agree,Agree,Neither agree nor disagree
We have been in school all this school year.,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
3,Agree,Agree,Agree,Agree
More intensive individualized help for students.,Agree,Agree,Agree,Neither agree nor disagree
4,Agree,Agree,Agree,Neither agree nor disagree
Discussions with peers to get different ideas about remote ideas and strategies to support the kids bout re,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
NA,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
"Connection, even though we are not in person",Agree,Neither agree nor disagree,Agree,Agree
support and understanding of the challenges we are all facing right now.,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree
Just as a space to voice concerns with other teachers,Agree,Agree,Agree,Agree
none,Agree,Agree,Agree,Agree
Helping me think outside the box and find different approaches to reach my students this year.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Providing independent work instead of grouping the children. The stations being used were a struggle to manage.,Agree,Agree,Agree,Agree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It has not helped me to prepare for teaching during a pandemic.,Disagree,Neither agree nor disagree,Strongly agree,Disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
great,Agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Agree
NA,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
NA,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree
N/A,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree
helped me with virtual navigation,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
NA,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Disagree,Agree,Agree
Not really sure.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
N/A,Agree,Agree,Agree,Strongly agree
teaching me how to use nearpod,Strongly agree,Strongly agree,Strongly agree,Strongly agree
N/A,Agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Agree
We are not doing remote learning with our little ones yet.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
Strategies,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
NA,Agree,Agree,Agree,Agree
Gained knowledge on how to use a foundational skills observation tool,Agree,Agree,Agree,Neither agree nor disagree
5,Agree,Agree,Strongly agree,Strongly agree
It introduced me to nearpod and model how it could be used with my students.,Agree,Neither agree nor disagree,Agree,Agree
I like that there were links for activities for virtual learners.,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
It's help plan my groups,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This hasn't really helped much with the hybrid learning.,Agree,Agree,Agree,Neither agree nor disagree
The lessons were easy to navigate through.,Agree,Agree,Agree,Agree
3,Agree,Agree,Neither agree nor disagree,Disagree
I am not sure it has helped me to actually teach the EL Skills Block. ,Neither agree nor disagree,Agree,Strongly agree,Disagree
It did not help.,Agree,Agree,Agree,Strongly disagree
This course helped me to better navigate the curriculum and collaborate with my team to answer much needed questions.,Agree,Agree,Strongly agree,Agree
Planning,Agree,Agree,Agree,Agree
4,Strongly agree,Agree,Agree,Agree
With a better way of tracking student progress.,Agree,Agree,Agree,Agree
It would have and but we took it after the beginning of the year.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Agree,Agree,Agree,Neither agree nor disagree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped me to become more comfortable with the lessons I will teach which will help the students  whether,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
It didn't really address this,Strongly agree,Strongly agree,Agree,Strongly agree
It was all very amiable.,Agree,Agree,Agree,Strongly agree
We did not discuss this. The course was helpful nonetheless and can be utilized in whatever format of instruction we are in pandemic or no pandemic.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Agree
"My colleagues were much more efficient with navigation. They gave me hints, reshared links, etc.",Agree,Agree,Disagree,Strongly agree
Convenient.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped me to become more comfortable with the lessons I will teach which will help the students  whether,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Neither agree nor disagree,Agree
NA,Agree,Agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I am always apprecaitive of facilitators structure. I always learn something that I can apply to my own systems.,Strongly agree,Neither agree nor disagree,Agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Agree,Agree,Strongly agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Neither agree nor disagree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Agree,Agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
This course allowed me to hear from other teachers with how they are adjusting activities within our current time.,Strongly agree,Strongly agree,Agree,Agree
5,Agree,Agree,Agree,Agree
Every session prepares me for diverse learners,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I can use tools I learned today such Kami, for students who would prefer to do work online.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
This is not a criticism--being prepared for COVID teaching is not something that has been mastered anywhere. Collaboration and discussion continue to be challenges that are difficult to problem solve.,Agree,Agree,Agree,Neither agree nor disagree
None,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"The course focused on writing skills and strategies, nothing focused on remote learning.",Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
I am to look at my students writing in a new way.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
I feel that I have gain immense knowledge that will help me beyond in the traditional classroom setting.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I love seeing the sources highlighted from the large teacher's guide that was not spotlighted in our initial training.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
3,Agree,Agree,Strongly agree,Neither agree nor disagree
demonstrated tpt in a virtual setting,Agree,Agree,Agree,Agree
I am more in need of how to implement protocols and TPT's in the virtual setting. I unfortunately do not see us reopening anytime soon to in person learning. When we do though I will definitely look over the appendix of protocols.,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
I wish there was MORE of this.,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
It has helped me get through this virtual teaching experience,Strongly agree,Strongly agree,Strongly agree,Strongly agree
na,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped to hear other teacher's ideas on how to implement over NTI,Agree,Agree,Agree,Agree
engagement strategies,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Gave me many wonderful ideas on how to implement tpt virtually! Thank you!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Give me a deeper knowledge of the tools that EL has to offer for distances learning,Strongly agree,Strongly agree,Agree,Agree
I got ideas from others.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Disagree,Neither agree nor disagree,Agree
Helped me plan for ways to use TPT virtually,Agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Strongly agree
Finding tpt's that work virtually,Agree,Agree,Agree,Agree
none,Strongly agree,Strongly agree,Strongly agree,Strongly agree
ways to get students to be engaged virtually,Agree,Agree,Agree,Strongly agree
NA,Agree,Agree,Neither agree nor disagree,Agree
N/A,Disagree,Disagree,Neither agree nor disagree,Agree
more options to explore,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
Other ways to be flexible with EL to support student learning,Agree,Strongly agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Disagree,Agree,Agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Actual suggestions for student engagement,Agree,Disagree,Agree,Agree
NA,Strongly agree,Neither agree nor disagree,Strongly agree,Agree
NA,Agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Neither agree nor disagree,Agree,Agree
Districts shared the inequities that have been exposed and the wish to improve because of COVID-19,Agree,Agree,Agree,Agree
The A/B strategy for discussion.,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
NA,Agree,Neither agree nor disagree,Agree,Agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I would have loved to have it when we started school. ,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It has not.,Disagree,Disagree,Disagree,Strongly disagree
This course has allowed me to identify what skills are most important in helping my kids become successful with the culminating writing task. It has also allowed me to identify what skills I need to focus on for my 9th grade students who will be taking the LEAP 2025 this spring.,Agree,Agree,Agree,Neither agree nor disagree
Discussing the support tools available for the units and how the sections/lessons build the speaking and writing skills that build to the section diagnostics and culminating writing tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It is a guide that even my virtual students can still look at and complete,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
We haven't discussed remote/hybrid learning much.,Agree,Agree,Agree,Agree
The introduction to the Nearpod platform was very helpful.,Neither agree nor disagree,Agree,Strongly agree,Agree
N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
0%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
NA,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree
NA,Agree,Agree,Neither agree nor disagree,Strongly agree
It's helped alot to think about what to see and how to have conversations remotely,Strongly agree,Strongly agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
We talked about connections to hybrid learning but I think this is an area of improvement. Watching classroom videos of an actual class provided a disconnect to what we are facing in virtual.,Strongly agree,Agree,Agree,Strongly agree
I just need to talk about it with other professionals,Strongly agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Agree
NA,Neither agree nor disagree,Agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Strongly agree
Nearpod,Strongly agree,Neither agree nor disagree,Strongly agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Strongly agree,Agree,Strongly agree
Collaboration with my teams members/time,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree
NA,Agree,Agree,Agree,Agree
unsure,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Agree,Agree,Agree
It was great to experience the technology resources as a learner.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
I will explore Nearpod as a  tool!,Strongly agree,Strongly agree,Agree,Agree
I appreciate the response to the feedback we provide.,Agree,Agree,Neither agree nor disagree,Strongly agree
"Love the use of Nearpod, has caused me to go out an learn more about it and try it out with others.",Strongly agree,Strongly agree,Strongly agree,Agree
NA,Agree,Strongly agree,Strongly agree,Strongly agree
Clarity on how to focus instruction on the standards without feeling like content is being shortened or eliminated for the sake of time.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
Engagement strategies,Neither agree nor disagree,Agree,Agree,Strongly agree
links being shared in  emails and the chat were helpful. The amount of tabs to navigate was challenging.,Agree,Strongly disagree,Strongly agree,Strongly agree
Provided tools and protocols for me to use with the groups that I serve.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Agree
NA,Neither agree nor disagree,Agree,Agree,Agree
?,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
NA,Strongly agree,Neither agree nor disagree,Agree,Agree
"It helped us look at where we can use reference guides, and how optional activities to support our students when needed.",Agree,Strongly agree,Strongly agree,Disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Strongly agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Agree
NA,Agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Helps know what are the essential parts of the lesson in regards to the standard. This is important right now with our online learning since we have shorter time frames.,Agree,Agree,Agree,Agree
4,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It was beneficial to work with others considering we don't see them as often ,Agree,Agree,Agree,Agree
It gave me tools that will help me elicit student thinking better.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I have learned of certain tools that I can use such as awwapp or jamboard. As well as strategies and what to focus on while remotely teaching.,Agree,Strongly agree,Strongly agree,Strongly agree
This course allowed me to learn about different strategies to use while teaching remotely/hybrid.,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
This course helped to design good questions that would guide my student's thinking and help them develop their own way of figuring out to solve problems. It also helped me learn how to remediate when students do not understand a concept by designing re-engagement lessons. I have also gotten a good tool for having good discussions within PLC meetings.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
How to better elicit student thinking virtually.,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
I don't think this course specifically helped with remote learning,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
2,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
The section on the 3Ms in small group instruction was the most helpful for me.  Small group instruction with self-reliant students who can manage themselves with independent activities is highly critical and important.  I will most definitely take this information with me when we open up again.  Thanks you!,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
"I learned a lot about Zoom and using the online platforms through teaching lab. In the beginning, I was nervous and apprehensive about the technology aspect of it. Now, I feel like a pro...I know that I am not but I am confident in my abilities now.",Agree,Agree,Strongly agree,Strongly agree
5,Agree,Agree,Agree,Agree
4,Agree,Agree,Agree,Agree
I love seeing the sources highlighted from the large teacher's guide that was not spotlighted in our initial training.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Tips on what reference guides to potentially utilize when we are in a bit of a ""time crunch""",Agree,Strongly agree,Strongly agree,Neither agree nor disagree
None,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
none,Agree,Agree,Agree,Agree
It gave us our first chance to practice synchronous teaching which we have never had to do but must all do starting this week,Strongly agree,Strongly agree,Strongly agree,Agree
"Practicing teaching virtually, really helped the teachers. Thank you !",Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Helped with ideas to deliver meaningful/purposeful instruction, allowed us to see what virtual learning will look like in the classroom.",Agree,Strongly agree,Strongly agree,Strongly agree
This PD helped be to navigate remote and hybrid learning during COVID by allowing us to practice sharing our screens and teaching a lesson to students virtually facilitating mathematical discourse and focusing on the skill at had and any misconceptions students might have and target them. This session also helped us to understand how to use the misconceptions to do a quick re-do or reteach.,Agree,Strongly agree,Strongly agree,Strongly agree
4,Strongly agree,Strongly agree,Strongly agree,Strongly agree
4,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"This course reinforced some practices and routines that have been happening, but maybe known more subconsciously. This course also helps us see that we don't have to take a one size fits all approach to checking for understanding. Checking involves different approaches and looks different for students since everyone does not learn the same way.",Agree,Strongly agree,Strongly agree,Agree
"This course showed me how to share my screen with my students and get them engaged. The way in which I was able to get my students engaged was through questions such as, What do you Notice and Wonder? This also allowed me to see the areas of weakness and target the areas that I needed to further focus on to better help my students.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
"This course showed me how to share my screen with my students and get them engaged. The way in which I was able to get my students engaged was through questions such as, What do you Notice and Wonder? This also allowed me to see the areas of weakness and target the areas that I needed to further focus on to better help my students.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Being able to work through zoom, annotate documents and share my screen have been helpful virtual learning strategies.",Agree,Strongly agree,Strongly agree,Strongly agree
This course did not in any way help me navigate remote and/or hybrid learning. Unless I am missing a whole lot. At this point I feel I need PD's to help me teach remotely using the platform our district has adopted...Microsoft. I inquired back in August if this was something IM was willing to consider and their suggestion was to use Google.,Agree,Agree,Agree,Disagree
The course helped with preparation for the next lesson,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
