date_for_the_session,professional_training_session,select_your_site_district_parish_or_network,select_the_best_description_for_your_role,select_the_grade_band_s_you_focused_on,learning_session_satisfaction,todays_topic_was_relevant_for_my_role,designed_to_help_me_learn,learning_to_try_out,likely_to_apply_46_weeks,select_the_name_of_your_first_facilitator,s_he_facilitated_the_content_clearly_12,s_he_effectively_built_a_community_of_learners_13,did_you_have_a_second_facilitator,select_the_name_of_your_second_facilitator,s_he_facilitated_the_content_clearly_16,s_he_effectively_built_a_community_of_learners_17,overall_what_went_well_in_this_professional_learning,which_activities_best_supported_your_learning,what_could_have_improved_your_experience,likely_to_recommend_colleague_friend,why_did_you_choose_this_rating,do_you_have_additional_comments
2020-03-02,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 3-5,Agree,Strongly agree,Agree,Shared and interactive writing,Strongly agree,Jill,Agree,Agree,No,NA,NA,NA,Strategies for writing,Annotating student writing,A/C,8,Repeated info,NA
2020-03-02,Guidebooks CM-6,Calcasieu Parish,School-based coach,Grades 3-5,Agree,Strongly agree,Agree,Protocols,Strongly agree,Jill,Agree,Strongly agree,No,NA,NA,NA,Protocols,Grading the writings using a LEAP rubric,More practice with rubrics,8,Relevant information,NA
2020-03-02,Guidebooks CM-6,Calcasieu Parish,Curriculum coordinator,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Strategies for writing support,Strongly agree,Jill,Agree,Agree,No,NA,NA,NA,Information presented,Partner turn and talk,Nothing,7,Good information,No
2020-03-02,Guidebooks CM-6,Calcasieu Parish,School-based coach,"Grades K-2, Grades 3-5",Strongly agree,Strongly agree,Strongly agree,Using the rubric in order to focus writing instruction.,Strongly agree,Jill,Strongly agree,Strongly agree,No,NA,NA,NA,Clear delivery of instruction,Looking at student work samples along with the leap rubric,None,10,Useful in the classroom,None
2020-03-02,Guidebooks CM-6,Calcasieu Parish,School-based coach,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,The instructional strategies to show my teachers how to help their students.,Strongly agree,Jill,Strongly agree,Strongly agree,No,NA,NA,NA,Good information that my teachers can use.,Looking at different strategies,Nothing.,10,Good information,NA
2020-03-02,Guidebooks CM-6,Calcasieu Parish,School-based administrator or supervisor,Grades 3-5,Agree,Strongly agree,Strongly agree,All the guidebook resources,Agree,Jill,Agree,Strongly agree,No,NA,NA,NA,Walking through the resources and tools together,Annotating each task for a certain purpose,"NA",8,Great experience and practices,NA
2020-03-02,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 3-5,Agree,Agree,Agree,Shared/interactive writing strategy,Agree,Jill,Strongly agree,Strongly agree,No,NA,NA,NA,Breaking down student writing/rubrics,All of them.,N/A,5,I was chosen to participate in mtgs,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Master Teacher,NA,NA,NA,NA,What resonated with me most was using the rubric and the explanation for each descriptor to analyze student's writing.,NA,Justin,NA,NA,NA,NA,NA,NA,"Collaborating with colleagues was most effective, as we were able to share ideas.",NA,N/A,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Understanding and using the rubric.,NA,Justin,NA,NA,NA,NA,NA,NA,Using the rubric with student work.,NA,"No, the day went well.",NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Applying the rubric to student work samples.,NA,Justin,NA,NA,NA,NA,NA,NA,Creating a plan for instructing writing weaknesses for my students.,NA,Provide hot breakfast,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,School-based coach,NA,NA,NA,NA,The use of the organizational frames to help students write. It gave me insight to what may help the 3rd graders at my school.,NA,Justin,NA,NA,NA,NA,NA,NA,The time to collaborate with cohorts.,NA,The environment. It was freezing today.,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Understanding the LAT and RST Rubric with student work,NA,Justin,NA,NA,NA,NA,NA,NA,Determining support for students after identifying specific writing skill needs,NA,Nothing,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Interventionist,NA,NA,NA,NA,Understanding the Rubrics,NA,Justin,NA,NA,NA,NA,NA,NA,Using the rubric with students work,NA,Lunch,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Using the rubrics to help breakdown the students writing.,NA,Justin,NA,NA,NA,NA,NA,NA,Looking at what to retrace students based on data from writing assignments,NA,Nothing,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Indicators for struggling students,NA,Justin,NA,NA,NA,NA,NA,NA,Learning skills and concepts to teach high quality responses.,NA,Nothing,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,The breakdown of the rubric. It can be used as a checklist for both students and teachers.,NA,Justin,NA,NA,NA,NA,NA,NA,Grouping students on the rubric to drive instruction.,NA,Nothing. Justin was great!,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,The breakdown of what the rubric is asking from students to show mastery.,NA,Justin,NA,NA,NA,NA,NA,NA,The breakdown of the rubric.,NA,Nothing,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,District-based coach/curriculum and instruction specialist,NA,NA,NA,NA,Using the whole group strategies to help strengthen students' writing.,NA,Justin,NA,NA,NA,NA,NA,NA,Getting to practice what was discussed and reflect on the practices.,NA,Lunch,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Writing focus does not have to be every component of a students writing. Finding a key focus to work on will yield a better outcome.,NA,Justin,NA,NA,NA,NA,NA,NA,Collaboration with colleagues,NA,Lunch,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Modeling student work,NA,Justin,NA,NA,NA,NA,NA,NA,Having the time to analyze student work and have peers to discuss it with.,NA,lunch! my box did not have chips in it,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,The breakdown of the writing rubrics.,NA,Justin,NA,NA,NA,NA,NA,NA,The most effective part of the day was the way the information was presented along with the ability of the presented to make real life connections.,NA,N/A,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Rubric breakdown,NA,Justin,NA,NA,NA,NA,NA,NA,Justin,NA,Lunch,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,That there are different ways to reach a student through small group intervention,NA,Justin,NA,NA,NA,NA,NA,NA,Justin was the bomb.,NA,The lunch,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Using organizational frames,NA,Justin,NA,NA,NA,NA,NA,NA,Collaboration and Justin,NA,Lunch,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,There wasn’t kne,NA,Justin,NA,NA,NA,NA,NA,NA,Nothing,NA,Nothing,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,The strategies.,NA,Justin,NA,NA,NA,NA,NA,NA,Justin’s enthusiasm and patience.,NA,More time to work on Bloomboard.,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Master Teacher,NA,NA,NA,NA,Instructional strategies,NA,Justin,NA,NA,NA,NA,NA,NA,Instructional strategies,NA,N/A,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Using strategies as a teacher,NA,Justin,NA,NA,NA,NA,NA,NA,Finding supports for teaching writing,NA,Lunch,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,Going through the rubrics,NA,Justin,NA,NA,NA,NA,NA,NA,Work time with our student's writing samples,NA,Room temp was crazyyyyy,NA,NA,NA
2019-11-06,Guidebooks CM-6,Louisiana State Content Leader Training,Classroom teacher,NA,NA,NA,NA,The list of tools for writing strategies,NA,Justin,NA,NA,NA,NA,NA,NA,analyzing student writing,NA,lunch,NA,NA,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Modeling,Strongly agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,Hearing the thoughts and interacting with other teachers.,Looking at the student exemplars.,Nothing,10,Enjoyed the meeting.,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Modeling,Strongly disagree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,Breakout rooms,Break outs,Better scheduling,8,Good facilitator,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Neither agree nor disagree,Agree,The LAT/RST Ruberic sheet helped,Neither agree nor disagree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,It was very well organized,My device had issues but there were no issues on Katie’s part at all. It was seamless.,A better device. That’s on me.,10,It’s a good breakdown.,This does not work well with student who do aren’t accustomed to reading.
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Neither agree nor disagree,Agree,Agree,Timing,Strongly agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,good,breakout groups,timing,10,great info,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Neither agree nor disagree,Agree,Neither agree nor disagree,There's not one big thing that stands out.,Strongly disagree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,The presentation of ideas and information went well.,All of them supported my learning.,More student examples of learning ranging from low. Medium to high.,8,The content is useful for English teachers.,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Modeling,Strongly agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,Hearing the thoughts and interacting with other teachers.,Looking at the student exemplars.,Nothing,10,Enjoyed the meeting.,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,School-based coach,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Modeling,Strongly agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,Breakout rooms,Working with our own student samples,N/A,10,It allowed me to learn/ hone skills that I can take back to use immediately.,Thanks so much!
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,using models,Strongly agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,models,Models,Moore time,10,Personal help,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Neither agree nor disagree,Agree,The LAT/RST Ruberic sheet helped,Neither agree nor disagree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,It was very well organized,My device had issues but there were no issues on Katie’s part at all. It was seamless.,A better device. That’s on me.,10,It’s a good breakdown.,This does not work well with student who do aren’t accustomed to reading.
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Agree,Agree,Neither agree nor disagree,model writing,Disagree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,small groups,small groups,in person-but no ones fault! I just get distracted,6,it was very repetitive,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,School-based coach,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,The scoring rubric/students' initials - mini grammar lessons,Strongly agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,The collaboration,break out sessions and working with my team on common student samples here at school,"the technology was sketchy - yesterday I was kicked out several times and had to ask permission to reenter - today, the Zoom meeting wouldn't work on my computer; I had to use my cell phone",10,Effective presenter,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Neither agree nor disagree,Agree,Disagree,Data analysis of students.,Agree,Katie,Neither agree nor disagree,Neither agree nor disagree,No,NA,NA,NA,No technical problems.,Modeling and analysis.,The training was very spaced out; a more compact training might have helped the experience.,4,I didn't learn many new things.,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Agree,I’m most excited about using modeling more and using organizational frames more.,Agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,I think that the content was relevant,Being able to step into the students shoes and see how they would interact with the work,Nothing really it was good.,10,It was an informative training.,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Addressing my students' needs specifically within GB,Strongly agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,Unpacking the curriculum to see how it aligns with state standards,using actual student samples,Nothing... maybe earlier in the year,10,thorough,no
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Neither agree nor disagree,Agree,Agree,Grouping students better,Neither agree nor disagree,Katie,Agree,Agree,No,NA,NA,NA,The explanation on how to implement the information.,Whole group discussion,Break up the information more,5,It was beneficial,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Organizational frames,Strongly agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,Great morale and hands on learning,Analyzing my own students' work,N/A,10,This professional learning was effective.,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Agree,Agree,Agree,organizational frames,Agree,Katie,Agree,Agree,No,NA,NA,NA,learning more about guidebooks,work sample analysis,being more vocal,8,it was helpful,none
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Modeling,Strongly disagree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,Breakout rooms,Break outs,Better scheduling,8,Good facilitator,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,.,Neither agree nor disagree,Katie,Neither agree nor disagree,Neither agree nor disagree,No,NA,NA,NA,.,.,.,3,I already know these things.  I'm certified so maybe that's why these are familiar habits,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Modeling,Strongly agree,Katie,Strongly agree,Strongly agree,No,NA,NA,NA,Hearing the thoughts and interacting with other teachers.,Looking at the student exemplars.,Nothing,10,Enjoyed the meeting.,NA
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Organizational Frames and Interactive Writing,Strongly agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,Well organized and communicated clearly.,The time to implement learning into future lessons.,N/A,10,I enjoyed this experience and I'll miss these trainings.,Thank you so much!
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Agree,Agree,Agree,Interactive writing,Strongly agree,Lauren,Strongly agree,Agree,No,NA,NA,NA,collaborating with peers,built in work and discussion time,N/A,5,seemed fitting,NA
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Neither agree nor disagree,Agree,Neither agree nor disagree,Implementing more interactive models,Agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,Great collaboration,Rubric breakdown points and descriptors,N/A,5,Great for new teachers but kind of repetitive for veteran teachers. It's more about process and structure that veteran teachers already have.,No
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Agree,Agree,Strongly agree,Incorporating more grammar lessons,Strongly agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,Work time,Applying it to my content,Nothing,6,"I understand why guidebooks does things the way they do, but I want to know how to differentiate and scaffold it.",NA
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Frames,Strongly agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,Lauren is great at providing the guidebooks information to us.,Analyzing the writing,I could have attended all sessions,10,Good lesson plas,NA
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Agree,Agree,Strongly agree,Modeling with mini lessons on writing,Agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,The ability to reflect and plan using new strategies.,The ability to reflect and plan using new strategies.,N/a,8,The professional learning was effective.,NA
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,n/a,Strongly agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,Facilitator presenting information,models,lunch,5,we have already been using these strategies,NA
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,The mini-lessons focused on grammar,Strongly agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,The information presented was very effective and  will be used in the future,The group discussions,Nothing,10,It is both entertaining and informative,NA
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Organizational Frames,Strongly agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,Group Discussion,Work Time,More Work Time,8,Presenter very knowledgeable,none
2020-03-19,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Shared writing,Strongly agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,Getting a chance to see new strategies.,Working through the case study to see it in action.,It was great.,10,It has been a wonderful informative experience.,NA
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Agree,Strongly agree,Agree,Shared writing format! I already do it in class but I'm excited to try to structure.,Strongly agree,Lauren,Strongly agree,Agree,No,NA,NA,NA,"Lots of work time, lots of collaboration time.",Being able to ask a lot of questions and apply what we learned to the unit I'm teaching.,N/A,9,The session was facilitated very well.,N/A
2020-03-10,Guidebooks CM-6,Ascension Parish,Teacher or specialist,Grades 6-8,Agree,Agree,Agree,I really liked the strategies we learned today and the resources for grammar,Agree,Lauren,Agree,Agree,No,NA,NA,NA,development time,the grammar activities,nothing,7,i thought it was informational,no
2020-03-10,Guidebooks CM-6,Ascension Parish,School-based coach,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Using the lessons from The Writing Revolution to support students with their gaps in their grammar and convention skills.,Strongly agree,Lauren,Strongly agree,Strongly agree,No,NA,NA,NA,Lauren presented very practical strategies.,Analyzing the strategy use through the case studies. Lauren also restructured the day's activities by re-segmenting the content to give more development time which was really meaningful to teachers.,N/A,10,Lauren was always keeping the needs of our district in mind as she delivered the content she was hired to deliver.,N/A
2019-10-16,Guidebooks CM-6,Calcasieu Parish,PF,NA,Strongly agree,Agree,Strongly agree,Use of Supports Flow Chart for specific student needs,Agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,Working through activities with partner and group,Various writing strategies,Experience was great and enlightening.,9,"NA",This particular training would be very beneficial for teachers/staff who utilize the curriculum day to day. We are support personnel and do not utilize the curriculum with students.
2019-10-16,Guidebooks CM-6,Calcasieu Parish,District/network-based coach or Curriculum and instruction specialist,NA,Strongly agree,Strongly agree,Strongly agree,Thought process for citing evidence,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,Lauren is very knowledgeable and does a great job addressing specific areas of concern for SWD.,Understanding the rubrics,N/A,10,Relevant information,No
2019-10-16,Guidebooks CM-6,Calcasieu Parish,District/network/state-level professional or administrator,NA,Strongly agree,Strongly agree,Strongly agree,Scoring student writing,Agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,Content was delivered professionally and effectively,Diving into thescoring rubric and exemplar writing,N/A,10,The content presented was very informative and geared to providing all students with the supports needed for effective writing in response to a prompt as well as citing relevant evidence to support their response.,NA
2019-10-15,Guidebooks CM-6,Calcasieu Parish,Program Facilitator,NA,Agree,Agree,Agree,Understanding the rubric for writing and looking at the support’s flow chart,Agree,Lauren,Agree,Agree,NA,NA,NA,NA,Looking at student work samples and discussing,Looking at student work samples and discussing,More time and a full class set of samples to compare,8,Well organized,I would like to have had the opportunity to invite selected teachers to attend the training with us. Great information that is difficult to redeliver to the masses.
2019-10-16,Guidebooks CM-6,Calcasieu Parish,Program Facilitator,NA,Strongly agree,Strongly agree,Strongly agree,Supports Flow Chart was most helpful and will be used in my interactions with my teachers.,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,The interactiveness of the session and the feedback we received from each other on using the Supports Flow Chart.,The use of the Supports Flow Chart,Afternoon coffee,10,I enjoyed this session and can see how beneficial it will be as I support my SpEd teachers with their ELA Guidebook instruction.,Great session!
2019-10-16,Guidebooks CM-6,Calcasieu Parish,Program Facilitator,NA,Strongly agree,Strongly agree,Strongly agree,Student Writing Samples,Agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaborating and sharing ideas with co workers,Co-workers and our Facilitator,N/A,10,I enjoyed what was presented today.,N/A
2019-10-16,Guidebooks CM-6,Calcasieu Parish,District content team sped,NA,Strongly agree,Strongly agree,Strongly agree,Breaking down the rubric into descriptors,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,Good discussions; great presenter,Practicing with student samples,"Nothing. Great job, Lauren!",10,Always beneficial and productive,Awesome job
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Materials from the supports flow charts,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Pacing and learning exoeriences,Applying strategies for assessing possible skill/knowledge deficiencies that hinder effective writing at the appropriate grade level,Everything was great!,9,I am satisfied with my experience.,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Mini lesson for small group,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration,Strategies,Nothing,10,Effective and useful material,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,shared writing,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,new strategies for teaching writing,sharing in groups,everything went well,10,very informative,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Evaluating the student's writing using each individual piece of the rubric,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Thw scoring,The scoring,Nothing,10,Very informative,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Materials from the supports flow charts,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Pacing and learning exoeriences,Applying strategies for assessing possible skill/knowledge deficiencies that hinder effective writing at the appropriate grade level,Everything was great!,9,I am satisfied with my experience.,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Modeling,Agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Explanations of content and discussions,Shared writing,"More videos, they lock in content for me!",7,I‚Äôve never been to one of these,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Writing Interventions,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Learning about writing interventions,Group work,Nothing,10,Very informative,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Modeling with student exemplar,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration,Working with grade-level peers,N/a,10,Great content,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Shared and Interactive Writing,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Breaking down the Rubric,Scoring together & comparing,Nothing,9,Good,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Modeling,Agree,Leigh,Agree,Agree,NA,NA,NA,NA,Analyzing student work,Group work,It was all great,8,Good instruction,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Agree,Agree,Agree,Shared and Interactive writing,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Good examples and modeling used,Examples used and discussion,N/A,6,N/A,NA
2019-11-13,Guidebooks CM-6,Allen Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Deeper in specific supports,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Related to student work/needs,Same as above student needs driven,N/a,10,She made relevant to where our students are at,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Shared or interactive writing,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Interaction with peers,Learning about ways to help my students writing,Nothing,10,I think this is an excellent program,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Shared writing,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,I felt this lesson was more centered on what we face in the classroom.,Shared writing and grammar,Nothing,10,I enjoy the lessons,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Agree,Agree,Agree,Modeling,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Modeling of strategies,Strategies,Less side talk,10,It has been a good service,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The strategies for supporting students in various aspects of writing,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Engagement,Planning supports for struggling writers,N/A,10,Amazing presenter! Leigh has persuaded me to give Learnzillion a chance in my classroom while still holding on to my autonomy.,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Definitions of parts of writing rubric,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Planning lesson,Exploring the categories in writing,Shorter,10,Extremely helpful in planning,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Shared writing,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Learning useful writing strategies,"Watching, reading, and learning strategies",None,10,Useful PD,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Shared and interactive writing,Agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,High school examples of Guidebooks,Collaborative learning,"NA",10,The time spent was effective.,NA
2019-11-13,Guidebooks CM-6,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Collaboration,Strongly agree,Leigh,Agree,Agree,NA,NA,NA,NA,Learning how to model for students,Group activities,N/A,9,Informative,NA
